Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference,AgeGroup
1,21032,0,9,1,1977,2,175,267,2,0,1,1,2
1,28207,3,1,3,4277,1,228,190,0,0,1,0,3
0,10861,3,0,1,969,2,71,280,3,0,0,1,2
2,32425,2,6,0,982,0,31,255,2,1,0,1,0
0,35511,2,5,2,16,1,23,151,3,1,1,0,2
1,37185,1,3,2,2395,2,6,47,0,0,1,0,1
1,896,0,1,3,4494,0,157,225,0,0,1,0,0
2,36676,0,8,2,3156,2,210,166,3,1,0,0,2
1,1029,3,6,3,1908,1,218,263,2,1,1,0,0
2,29075,2,1,3,3544,0,271,15,2,1,1,0,0
0,9022,3,4,1,2995,1,159,51,1,0,1,0,1
2,31952,2,3,1,1247,2,33,21,3,1,0,0,1
0,13388,0,7,0,1091,1,130,254,2,1,1,1,0
0,29927,0,9,2,1721,0,211,148,0,0,1,0,2
1,18710,2,3,0,2107,1,36,258,0,0,0,1,2
0,32733,3,2,1,2330,2,77,209,0,1,1,1,0
1,38030,0,7,2,175,0,280,211,3,0,0,0,1
2,13244,1,4,0,4479,0,253,50,2,0,1,0,0
2,20224,0,5,2,3528,0,162,293,0,0,0,0,1
0,11057,1,1,0,303,2,207,162,2,0,0,0,0
2,36008,2,5,0,3640,2,296,169,0,0,1,0,3
0,31905,3,7,1,3318,1,298,41,1,1,1,0,2
2,13149,2,1,1,135,1,263,241,0,1,1,0,2
0,25486,0,1,3,362,0,164,1,3,0,1,0,1
0,37832,3,4,1,2924,2,234,54,1,1,0,0,0
2,9503,3,3,1,3423,2,243,161,2,1,1,0,2
2,32180,2,3,2,1323,0,48,185,1,1,0,0,1
2,10804,2,4,1,2350,1,220,230,2,0,1,1,0
2,4077,0,6,3,3440,0,256,291,2,0,1,0,3
0,26122,1,1,3,448,0,201,24,1,1,0,0,0
0,10972,2,2,0,4203,1,165,294,1,1,0,1,3
2,29586,3,3,2,2010,1,30,125,0,1,0,0,0
2,5797,1,5,0,1214,0,209,90,2,1,0,0,2
1,15603,2,3,1,3882,1,46,124,1,0,0,1,0
0,21757,2,9,1,1885,0,118,296,1,1,0,1,0
0,654,2,4,2,3349,2,107,91,0,1,0,0,0
2,31562,1,7,3,2081,0,288,27,2,0,1,0,3
1,18615,2,0,0,2716,0,51,149,3,0,1,1,3
2,30266,0,2,1,2254,1,93,105,0,1,1,1,3
0,36607,2,7,3,3123,1,260,181,2,0,0,0,3
0,4567,3,4,3,2953,1,212,15,3,0,0,0,1
1,38875,2,8,3,2111,1,246,221,1,1,1,0,2
2,5016,3,6,0,2213,1,274,134,2,1,0,0,3
1,4361,1,8,3,1498,1,207,168,1,0,1,0,1
2,9609,2,9,1,3201,1,77,8,2,0,0,0,0
1,19633,2,0,3,4071,2,250,173,1,1,1,0,1
2,31850,1,6,3,53,0,231,250,3,1,1,0,2
2,32151,0,7,0,1141,1,123,184,3,0,1,1,0
2,32085,1,0,0,2744,2,49,167,2,0,1,1,1
0,40694,1,0,3,3395,1,266,270,2,0,0,0,0
2,642,3,9,2,2064,2,164,133,3,0,0,0,0
0,7248,2,7,2,58,1,160,263,1,1,1,0,3
1,8975,2,5,2,3735,1,84,17,2,1,1,0,1
2,3486,3,6,0,2218,2,25,18,1,0,0,0,0
0,27435,3,3,2,1170,0,197,248,0,1,1,0,1
1,27831,2,9,1,2421,2,241,47,0,0,1,0,0
2,11827,0,4,2,2056,0,264,138,1,1,1,0,0
1,32629,0,4,3,2729,0,243,227,2,0,0,0,3
0,17731,3,8,3,3040,1,13,177,1,0,1,0,1
0,37368,2,2,1,2859,1,31,285,0,0,1,1,3
2,25848,0,0,0,1882,1,51,24,2,0,0,0,1
0,2952,0,1,0,2819,1,64,202,0,1,1,1,3
0,36183,2,9,0,1849,1,166,121,3,1,0,0,2
1,1527,1,1,0,2776,1,93,292,3,0,1,1,0
2,27475,1,9,2,4175,1,261,262,2,0,1,0,0
2,2655,0,5,3,565,2,13,221,3,1,1,0,2
2,40198,1,7,3,3780,0,250,170,3,1,1,0,3
1,4144,1,9,3,709,1,279,73,1,0,1,0,2
0,5704,0,6,3,4081,2,278,219,0,1,1,0,1
2,30780,2,0,3,1172,0,98,167,2,1,0,0,1
2,13504,2,7,0,1463,0,20,105,3,0,0,1,1
1,34898,0,6,1,1237,0,105,164,1,1,0,1,2
1,21930,0,1,3,2266,2,195,171,2,1,1,0,1
2,10763,3,9,0,1788,1,277,207,1,1,1,0,2
2,39633,1,5,1,326,2,26,66,0,0,0,1,0
1,10352,0,6,1,3018,2,258,76,2,1,1,0,0
1,37214,1,5,0,1980,1,79,180,3,1,1,1,3
1,2650,0,0,0,2204,0,283,216,0,1,0,0,2
1,35985,1,8,1,1259,1,38,132,2,0,0,1,1
0,12275,2,2,0,1439,1,77,69,1,1,1,0,2
0,21900,2,4,1,3485,1,242,90,1,0,0,0,0
